Timestamp (raw),Age (raw),Gender (raw),Graduation Year (raw),Language Number (raw),Current Course (raw),First Course (raw),Background (raw),Reading Proficiency (raw),Writing Proficiency (raw),Listening Comprehension Proficiency (raw),Speaking Proficiency (raw),Overhear (raw),Overhear Year (raw),Overhear Year (clean),Overhear Location (raw),Overhear Amount (raw),Overhear Frequency (raw),Practice (raw),Practice Year (raw),Practice Year (clean),Practice Location (raw),Practice Amount (raw),Practice Frequency (raw),Apps (raw),Apps Year (raw),Apps Year (clean),Apps Frequency (raw),Apps Type (raw),Read (raw),Read Year (raw),Read Year (clean),Read Frequency (raw),Read Type (raw),Podcast (raw),Podcast Year (raw),Podcast Year (clean),Podcast Frequency (raw),Music (raw),Music Year (raw),Music Year (clean),Music Frequency (raw),Music Choice (raw),Television (raw),Television Year (raw),Television Year (clean),Television Frequency (raw),Television Subtitles (raw),Abroad (raw),Abroad Speaking (raw),Comments (raw)
2/12/2025 21:04:41,19,Man,May 2027,third language,Spanish 103,Spanish 1,"I took spanish for 3 years in high school. I also have picked up on some terms from the internet, but not nearly as much as in school. ","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,for about 5 years,for about 5 years,School,A few conversations,Daily,Yes,1 year,1 year,"Home, I practice with my roommate and sometimes when I'm ordering food in a hispanic restaurant. ",A few words,Less than once a week,No,.25 years (used for a summer),0.25 years (used for a summer),Less than once a week,duolingo,Yes,1 year,1 year,Once a week,billboards or the spanish written under something that is in english such as simple directions to use something  ,No,0,,Less than once a week,Yes,0.25 years,0.25 years,Once a week,I turn on the music,No,0,,Less than once a week,"Spanish audio, Non-spanish subtitles",no,No,none
2/12/2025 21:26:44,21,Woman,May 2025,third language,SPAN 102,SPAN 100,I took one basic spanish course at my high school. My first spanish course at USD was when I was studying abroad in Madrid. I practiced on Duolingo beforehand.,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,,,Work,A few conversations,Daily,No,,,,,Less than once a week,Yes,1,1,Once a week,Duolingo,No,,,Less than once a week,Scholarly Articles,No,,,,Yes,4,4,Once a week,I turn on the music,No,,,Less than once a week,"Spanish audio, Non-spanish subtitles","I have lived in Spain for 6 months, I was 20 years old. It was a study abroad experience and I lived with Spanish-speaking people. ","Yes, some of the time/to some people",
2/14/2025 8:07:01,22,Woman,May 2025,second language,Spanish 201,Spanish. 201,I learned Spanish at a charter school in Colorado from kindergarten up to 9th grade,Fluent: you can read Spanish without translating in your head first.,"Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.","Advanced: you can carry out more complex conversations with a native speaker, you can understand them about past, present, and future events.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,22 years,22 years,"Home, School, Work, Army",Exclusively Spanish,Weekly,Yes,15 years,15 years,"Home, School, Work",A few conversations,Once a day,No,,,,,Yes,4,4,Once a week,"Graphic novels/comic books, Young adult books, Novels, Magazines, Newspapers, Websites",Yes,2,2,Less than once a week,Yes,10,10,More than once a day,I turn on the music,Yes,2,2,Once a week,"Spanish audio, Spanish subtitles",No,No,No
2/14/2025 8:09:31,18,Woman,May 2028,first language,SPAN 201,SPAN 201,"I was raised in a Mexican household, therefore my first language is Spanish. My family members around me speak it around me.",Fluent: you can read Spanish without translating in your head first.,"Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.",Fluent: you can listen and understand Spanish without translating in your head first.,Fluent: you can speak Spanish without translating in your head first.,Yes,18,18,"Home, School",Most conversations,Daily,Yes,18,18,Home,Exclusively Spanish,Once a day,No,0,,Less than once a week,none,Yes,On and off  around 6 years,On and off  around 6 years,Less than once a week,"Novels, Nonfiction books, Scholarly Articles",Yes,on and off my life span. say around 6,on and off my life span. say around 6,Less than once a week,Yes,18,18,More than once a day,I turn on the music,Yes,18,18,Once a week,"Spanish audio, Spanish subtitles",every year. ,"Yes, completely, even to those I was traveling/living with",n/a
2/14/2025 8:10:27,18,Woman,May 2028,second language,SPAN 201,SPAN 102,My parent both speak fluently and it is my dads first language so he speaks it with all of his family when we visit them. Around the house they never speak it because it is not my mom’s first language so I mostly hear it when we visit family. I also have took Spanish every year from 6th to 11th grade and completed AP Spanish. ,"Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Advanced: you can carry out more complex conversations with a native speaker, you can understand them about past, present, and future events.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,18,18,"Home, Work",A few conversations,Monthly,No,,,,,,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,"I have traveled to Spain and visited Madrid, Malaga, Valencia, and a few more cities.","Yes, some of the time/to some people",
2/14/2025 8:12:13,21,Man,May 2026,second language,SPAN 201,SPAN 201,I grew up speaking both Spanish and English as my family speaks both languages on the regular.  ,"Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.",Fluent: you can listen and understand Spanish without translating in your head first.,"Advanced: you can carry out more complex conversations with a native speaker, you can talk about past, present, and future events.",Yes,21,21,"Home, School, Work",A few conversations,Daily,No,,,,,,No,,,,,,21,21,Less than once a week,"Magazines, Newspapers, Websites",No,,,,,21,21,More than once a day,I turn on the music,No,,,,,I've traveled to Mexico on many occasions and have family that still live there.,"Yes, completely, even to those I was traveling/living with",
2/14/2025 9:08:07,19,Woman,May 2028,second language,SPAN 201,SPAN 103,Took Spanish 1st-11th grade. Didn't take it my senior year of high school. ,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.","Advanced: you can carry out more complex conversations with a native speaker, you can understand them about past, present, and future events.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",No,,,,,,No,,,,,,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,No,No,
2/14/2025 9:13:06,17,Woman,May 2027,second language,SPAN 201,SPAN 102,I took Spanish 1 and 2 in dual enrollment at a community college while in high school. My grandmother speaks fluent Spanish and I was on Duolingo for a while to keep my skills up.,"Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.","Advanced: you can carry out more complex conversations with a native speaker, you can understand them about past, present, and future events.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",No,,,,,,No,,,,,,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,,No,I want to start interacting with Spanish more outside of class after taking this survey.
2/14/2025 9:49:42,18,Woman,May 2028,second language,Spanish 201,Spanish 201,"I grew up with my Mom speaking to me in Spanish when I was a little girl, but I lost it when I entered elementary school. I began to take Spanish classes from 6th to 11th grade. I can understand well but I have a hard time conjugating my sentences. ","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,"Since I was a baby, everyone I grew up with has always spoken Spanish. ",_AGE_,"Home, School, Work",A few conversations,Daily,Yes,I have practiced Spanish outside the classroom for maybe a year,1,School,A few words,Once a week,No,,,,,No,,,,,No,,,,Yes,Maybe a year,1,Once a week,Someone else turns on the music,Yes,Maybe 2 years,Maybe 2 years,Once a week,"Spanish audio, Non-spanish subtitles","I go to Mexico 4-5 times a year since I was 10, mainly to Rosarito and Tijuana. My family goes there for quick vacation weekends to have a fun time and eat lots of inexpensive, yummy food. ","Yes, a few words when I needed to",
2/14/2025 11:26:15,22,Man,May 2025,second language,SPAN 202,SPAN 202,I was enrolled in a dual language program in elementary school so every other day was entirely in spanish. ,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Advanced: you can carry out more complex conversations with a native speaker, you can understand them about past, present, and future events.","Advanced: you can carry out more complex conversations with a native speaker, you can talk about past, present, and future events.",No,,,,,,No,,,,,,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,I've traveled to spain and ecuador when I was younger,"Yes, some of the time/to some people",
